7,,CUTTACK,4.0,6.3,-37%,D,925.9,899.4,3%,N
8,,DEOGARH,0.0,7.0,-100%,NR,702.1,937.7,-25%,D
9,,DHENKANAL,3.0,6.6,-55%,D,954.6,876.7,9%,N
10,,GAJAPATI,5.8,8.8,-34%,D,615.4,681.5,-10%,N
11,,GANJAM,19.3,6.3,206%,LE,621.0,667.2,-7%,N
12,,JAGATSINGHPUR,8.5,4.5,90%,LE,790.6,814.5,-3%,N
13,,JAJPUR,1.8,6.3,-71%,LD,711.3,965.5,-26%,D
14,,JHARSUGUDA,13.8,9.9,40%,E,761.0,962.0,-21%,D
15,,KALAHANDI,22.8,7.4,208%,LE,932.7,1129.3,-17%,N
16,,KANDHAMAL,13.7,9.3,47%,E,727.6,893.9,-19%,N
17,,KENDRAPARA,7.5,6.4,18%,N,622.5,854.6,-27%,D
18,,KEONJHARGARH,2.3,5.5,-59%,D,651.1,898.6,-28%,D
19,,KHURDA,6.4,5.7,12%,N,766.7,846.1,-9%,N
20,,KORAPUT,15.9,13.4,19%,N,1083.8,980.4,11%,N
21,,MALKANGIRI,36.7,11.7,214%,LE,1457.8,1024.5,42%,E
22,,MAYURBHANJ,3.1,7.6,-59%,D,725.5,950.9,-24%,D
23,,NAWAPARA,0.0,5.6,-100%,NR,959.8,818.2,17%,N
24,,NAWARANGPUR,11.2,11.1,1%,N,1027.5,1103.4,-7%,N
25,,NAYAGARH,16.5,8.9,86%,LE,854.3,841.4,2%,N
26,,PURI,6.6,7.4,-11%,N,560.2,787.6,-29%,D
27,,RAYAGADA,7.3,7.8,-7%,N,698.5,771.1,-9%,N
28,,SAMBALPUR,2.9,7.8,-62%,LD,863.3,1033.6,-16%,N
29,,SONEPUR,4.9,6.6,-26%,D,1082.6,979.0,11%,N
30,,SUNDARGARH,1.2,8.5,-86%,LD,809.3,974.1,-17%,N
1,,BOKARO,0.6,3.3,-81%,LD,757.7,712.2,6%,N
2,,CHATRA,0.0,5.8,-100%,NR,560.6,740.1,-24%,D
3,,DEOGHAR,0.0,5.4,-100%,NR,508.8,751.6,-32%,D
4,,DHANBAD,4.8,6.3,-23%,D,991.9,823.0,21%,E
5,,DUMKA,5.0,7.6,-34%,D,687.5,792.5,-13%,N
6,,EAST SINGBHUM,4.2,7.5,-44%,D,733.6,858.1,-15%,N
7,,GARHWA,0.0,5.3,-100%,NR,775.1,720.5,8%,N
